question,class,answer,drug,doctor,speciality
What is the Children s best cold tablets and cough relief?,cold and cough,"For cough, cold -- Prevent dehydration. Fluids may help thin secretions and soothe an irritated throat. Dry, hacking coughs respond to honey in hot water, tea, or lemon juice. Drink plenty of fluids to replace those lost from sweating and having a runny nose, get plenty of rest, eat healthily ? a low-fat, high-fibre diet is recommended, including plenty of fresh fruit and vegetables. OTC drugs, gargling with salt water and sucking on menthol sweets can help relieve a sore throat and blocked nose, are generally safe for older children and adults to take, but might not be suitable for babies, young children. Avoid applying Vicks VapoRub to babies and toddlers.You should never give children under 4 years of age over-the-counter cough and cold products without checking with your child's doctor. These medicines may harm young children. There are many underlying causes of cough and cold. Different cause needs different treatment. Specific treatment cannot be given unless we establish exact underlying cause. Final and perfect diagnosis cannot be done without doing clinical examination of patient. Please consult me or any other Paediatrician.  will take detail history and will examine patient in detail. All information will be used to determine exact underlying cause of problem. Depending upon cause  will prescribe you specific treatment. Advice given without doing clinical examination can be imperfect or some time harmful to patient.",https://1mg.com/drugs/acemiz-s-tablet-141365,Dr. Gopal Bansilal Samdani,Paediatrics
I hv cavity in last too it is starting stage wt treatment s suitable,other,If no pain thm go for tooth colour fillingIf pain for x ray once,https://1mg.com/drugs/acemiz-s-tablet-141365,Dr. Rohan Bhatt,Dental Surgery
Best medicine for high uric acid in bone joint relief,other,Tab Febustat 80mg once daily for 2 weeks and Tab Ace-proxyvon once or twice daily for pain relief,https://1mg.com/drugs/ace-proxyvon-tablet-333029,Dr. Akshat Goel,Orthopaedics
I fall in bathroom and my shoulder bone get hair crak X-ray has been done 'so advice me pain relief medicine and bone joint fastly medicine,other,Take Tab Ace-Proxyvon twice daily for 10 days for pain relief and Tab Setfrac-plus twice daily for 1 month for bone healing,https://1mg.com/drugs/ace-proxyvon-tablet-333029,Dr. Akshat Goel,Orthopaedics
i have cold and sore throat little headache body ache is wikoryl the right tab ?,cold and cough,Take Tab Ace-Proxyvon twice daily,https://1mg.com/drugs/ace-proxyvon-tablet-333029,Dr. Akshat Goel,Orthopaedics
Right leg 2nd big toe swelling mild pain altered sensation after a fall same 2 days back.,other,Apply Dynapar QPS spray and take Tab Ace-Proxyvon twice daily and Tab Flotrip-forte thrice daily for 4 days,https://1mg.com/drugs/ace-proxyvon-tablet-333029,Dr. Akshat Goel,Orthopaedics
My mother has pain in legs and rear end all the time she takes to Ostocalcium tablet once daily Is it right medication for my mother and right quantity??.? What shoud be given to my mom for pain. Any medicine,other,Take Tab Ace-Proxyvon twice daily and Cap Nurokind-LC twice daily for 6 daysDo Hot Fomentation and apply Dynapar QPS spray,https://1mg.com/drugs/ace-proxyvon-tablet-333029,Dr. Akshat Goel,Orthopaedics
"I have swelling on my index finger. 10 days before it was stuck in door but it was ok that time, but after 8 days it started to swell. . If i touch finger then its paining I am taking brufen 400 mg twice daily",other,Apply Dynapar QPS spray and take Tab Ace-Proxyvon twice daily and Tab Flotrip-forte thrice daily for 1 week,https://1mg.com/drugs/ace-proxyvon-tablet-333029,Dr. Akshat Goel,Orthopaedics
joint pain/muscular pain/body ace Joint pain/muscular pain/body ace,other,"Do following investigations. rA factor, ESR, CRP, S-URIC acid levels and Vitamin-D 3 levelsApply Dynapar QPS spray",https://1mg.com/drugs/ace-proxyvon-tablet-333029,Dr. Akshat Goel,Orthopaedics
Wrist pain from last 2 weeks,other,Apply Dynapar QPS spray and take Tab Ace-Proxyvon twice daily and Tab Flotrip-forte thrice daily for 4 daysAlso use wrist brace,https://1mg.com/drugs/ace-proxyvon-tablet-333029,Dr. Akshat Goel,Orthopaedics
"What is a quick solution for running nose , watery eyes , sneezing",cold and cough,ALERID 10MG TABLET twice daily for 3 days,https://1mg.com/drugs/alerid-tablet-67683,Dr. Pushkar Mani,Physician
I have sinus cold .give treatment,cold and cough,t alerid -d 1 bd for 5 days; steam inhalationb,https://1mg.com/drugs/alerid-tablet-67683,Dr. Vikas Sharma,Neurology
"Suffering with cold and headache. Should I take allercet dc or allegra m And whole mouth is full of ulcer. Pl recommend medicine for the same too Ulcer on tongue, roots of teeth. Walls of mouth from inside",cold and cough,This is not waste app first of all it is meant for second opinion as each symptoms have many diagnosis as of now take allercet dc and cobadex czs once a day for five days in case no improvement in two days visit ent specialist near you for proper examination,https://1mg.com/drugs/allercet-dc-tablet-68765,Dr. Vijay Verma,ENT
I keep on sneezing when I wake up from by bed.I usually take allercet-L when I can't stop sneezing.,cold and cough,Get serum IgE level done to see allergy level,https://1mg.com/drugs/allercet-dc-tablet-68765,Dr. Vijay Verma,ENT
One side nostril close and other is open and both ulternate work some time both is open  give me allrite dc tablet,cold and cough,can be due to allergy or deviated septum visit ent specialist near you for proper examination,https://1mg.com/drugs/allercet-dc-tablet-68765,Dr. Vijay Verma,ENT
"I've frequent sneezing & nose blocking problems, suspecting due to allergies.",cold and cough,Get serum IgE to confirm it is allergy,https://1mg.com/drugs/allercet-dc-tablet-68765,Dr. Vijay Verma,ENT
"Sneezing, allergies, nose blocking",cold and cough,Use physiomer hypertonic saline twice daily in each nostril Tab pantop once daily before breakfast Tab montair LC at night once daily for 5days,https://1mg.com/drugs/allercet-dc-tablet-68765,Dr. Sfurti Mann,Internal Medicine
"Runny nose, light fever and sneezing",cold and cough,"Tab Metacin 500 1 tab SOS, Steam inhalation, Tab Loridin1 OD x 3 days",https://1mg.com/drugs/allercet-dc-tablet-68765,Dr. Sunil Sekhri,Diabetology
Continuous Sneezing Runny nose,cold and cough,"You may take Allium cepa 30, 04 drops in half cup water thrice daily for 3 days",https://1mg.com/drugs/allercet-dc-tablet-68765,Dr. Saurav Arora,Homeopathy
"Runny nose , sneezing ,mucus from nose",cold and cough,"Steam inhalation, Tab Dealer 1 Od x 3 days",https://1mg.com/drugs/allercet-dc-tablet-68765,Dr. Sunil Sekhri,Diabetology
dose of acivir 200 mg in chickenpox,fever,what are your symptoms,https://1mg.com/drugs/acivir-cream-158993,Dr. Sunil Sekhri,Diabetology
"I am pregnant and have been taking susten 300 mg, duphaston twice a day, and fertigyn 5000 IU Injection for the past 6 weeks. But for the past 10 days, I have seen some sores around my upper lip. Can you please let me know if there is any treatment for the same?",other,Acivir gel twice a day,https://1mg.com/drugs/acivir-cream-158993,Dr. Atul Jain,Dermatology
What should be my medicine? Sugar level: Currently I'm taking ramipres5 for bp and amaryl m 1mg for sugar.,other,Medicine you are taking is good. Take low salt low fat diabetic diet.,https://1mg.com/drugs/amaryl-m-1mg-tablet-pr-324545,Dr. Sanjay Bhatt,Physician
Sir I have mucus/phelgum and wekening eye sight since last one year. I took diffrent consultation for it did not get rid of this.,cold and cough,"have u visited Neurophysician , if not than plz doand also Opthalmologist for eye sightfor mucus take Syru ASCORIL PLUS expectorant 5ml 3 times for 5 days",https://1mg.com/drugs/ascoril-plus-expectorant-248592,Dr. Pushkar Mani,Physician
We ?an use ascoril sf for cough for my kid,cold and cough,Please share contents and strength of ascoril sf,https://1mg.com/drugs/ascoril-plus-expectorant-248592,Dr. Gopal Bansilal Samdani,Paediatrics
I have piles problem for last 30 days and i just want to know which medicine or tablet i should take right now which can relief my pain and bleeding. Kindly suggest me,other,tablet zerodol for pain relief Sits bath Consult a surgeon Avoid constipation,https://1mg.com/drugs/acton-or-tablet-sr-255245,Dr. Sfurti Mann,Internal Medicine
Diagnosed with viral fever along with rashes on the body. Pain in eyes since three days. Pain when open and when blinking.,fever,Orbital pain is common with viral fever. Go to physician for fever. It will be relieved with relief in fever,https://1mg.com/drugs/acton-or-tablet-sr-255245,Dr. Richa Jain,Ophthalmology
Chicken pox medicine or tablet,fever,"Like if high grade fever take calpal 500 8hrly Otherwise avoid all medicines, Take a coconut oil pure and apply on whole body,",https://1mg.com/drugs/acton-or-tablet-sr-255245,Dr. Mehtab Baig,Orthopaedic Physiotherapy
I have got periods and having pain Please suggest me something which can get me relief,other,Tablet meftal spas or drotin,https://1mg.com/drugs/acton-or-tablet-sr-255245,Dr. Sonu Balhara Ahlawat,Obstetrics and Gynaecology
Is there any symptom for Chikanguniya or other fever or just Viral,fever,"Dear PATIENT  you for sharing your reports with me. Your malaria and typhoid tests are negative. Chikunganya is caused by a virus ad causes high fever with severe joint pains. Sometimes a rash can also appear. Dengue fever causes fever, with headaches and retroorbital pain.",https://1mg.com/drugs/acton-or-tablet-sr-255245,Dr. Ila Jain Khandelwal,Pathology
Nose in close Cold chest flue a,cold and cough,Can't prescribe without proper clinical examination. It can be upper respiratory tract infection or lower respiratory tract infection,https://1mg.com/drugs/ambrodil-syrup-141454,Dr. Shubhra Chandan Pradhan,ENT
Dr In my throat while am silent there is some sounding breath came to out side What is that mean. Am smoke 3 cigarettes per day,other,This is related to respiratory tract problemsU require consultation with chest physician,https://1mg.com/drugs/ambrodil-syrup-141454,Dr. Sanjay Singh Rai,Medical Oncology and Hematology
Cough and infection in throat Indigestion,cold and cough,It can be pharyngitis with respiratory tract infection. Consult a ENT specialist for proper clinical examination,https://1mg.com/drugs/ambrodil-syrup-141454,Dr. Shubhra Chandan Pradhan,ENT
I am suffering from fungal infection since last 2 years. A lots of medicine I have use but after some days it grewup fast,other,sertacide cream for application twice daily for 1 month . Tab AF 150 twice weekly for 1 month,https://1mg.com/drugs/af-150-tablet-dt-166299,Dr. Atula Gupta,Dermatology
Fungal? infection on genital Just like scratches or small bruces in genital skin It's almost half an hour I am waiting,other,Sertacide B cream for application twice daily for 2 weeks . Tab AF 150 twice weekly for 1 month,https://1mg.com/drugs/af-150-tablet-dt-166299,Dr. Atula Gupta,Dermatology
I have jock itch which I developed a year before it went off for some time but came back I am using a simple antifungal cream synadil 0.01% sir what to do sir also.suggest some natural ways to kill the fungus,other,Tab AF 150 twice weekly for 4 weeks . Avoid wetness and humidity,https://1mg.com/drugs/af-150-tablet-dt-166299,Dr. Atula Gupta,Dermatology
"I have facing issue of fungus (daad), I am seeing this from last 15 days. I am using medicine 'Quadidrem'. Kindly suggest any anti cream or something.",other,Sertacide cream twice daily for 1 month . Tab -AF 150 twice weekly for 4 weeks,https://1mg.com/drugs/af-150-tablet-dt-166299,Dr. Atula Gupta,Dermatology
A ring worms circle in my right solder. Give me suggestion. Thanks in advanced. The circle is burning and red red small dots. I am very sad.,other,Sertacide b cream twice daily for 2 weeks . Tab AF 150 twice weekly for a month,https://1mg.com/drugs/af-150-tablet-dt-166299,Dr. Atula Gupta,Dermatology
"Sir i am facing itching and rashes on my both sides of thai ,near penis area, plz recommend some best cream and medicine.",other,Sertacide cream for application twice daily for a month . Tab AF 150 mg twice weekly for a month,https://1mg.com/drugs/af-150-tablet-dt-166299,Dr. Atula Gupta,Dermatology
Fungus infection since last 15 years,other,Sertacide B cream for application twice daily for 2 weeks . Tab AF 150 once weekly for 2 months,https://1mg.com/drugs/af-150-tablet-dt-166299,Dr. Atula Gupta,Dermatology
I have some iching like ring worm and it is spreading all over the body slowly,other,Sertacide cream for application twice daily for 1 month . Tab AF 150 thrice weekly for 2 weeks,https://1mg.com/drugs/af-150-tablet-dt-166299,Dr. Atula Gupta,Dermatology
"Early ejaculation, erectile dysfunction Erectile dysfunction and early ejaculation",other,1.stop smoking and alcohol 2.join a gym and reduce weight. Do weight lifting exercises. 3. tablet sildenafil or viagra 1 tablet 1 hour before sexual activity. 4.Get tested so that u don?t have any of the following causes: 1.heart diseases 2. diabetes 3.neurological problems 4.hormonal problems 5.drug side effects,https://1mg.com/drugs/avanair-100-tablet-752005,Dr. Pranay Gandhi,Sexology
Erectile dysfunction premature ejaculation Medication for Erectile dysfunction and premature ejaculation,other,"Hello PATIENT  to 1mg. Erectile problems can be happen to people at any age having issue like stress, fatigue, disturb relationship, anxiety, Ali a cohol, smoking and medical problems like High BP, Diabetes, obesity etc. My personal advice is lifestyle changes like exercising, losing weight, stopping smoking,curbing alcohol, don't wear tight pants, do pelvic kegal exercise. There are medications but they have side effects so i dont advice first. But i strongly recommend to start healthy life with some antioxidant vitamins and healthy diet. You may take vitamin like DHEA cap, L arginine and herbal ashwagandha capsule. Apply Himcolin gel. Concentrate on Yoga and meditation and also take help from your partner. Use these for couple of months if not improved do few blood tests like thyroid, sugar and testosterone and let me know.",https://1mg.com/drugs/avanair-100-tablet-752005,Dr. Shyam Gupta,Obstetrics and Gynaecology
sexual weakness and erectile dysfunction sir mujhe erectile dysfunction ki problem hai,other,Take kaunch pak 1 spoon twice with.milk,https://1mg.com/drugs/avanair-100-tablet-752005,Dr. Aanchal Maheshwari,Ayurveda
"erectile dysfunction, getting dysfunction from fee days.",other,hi. Treatment for erectile dysfunction: 1.stop smoking and alcohol 2.join a gym and reduce weight. Do weight lifting exercises. 3.tablet sildenafil or viagra 1 tablet 1 hour before sexual activity. 4.Get tested so that u don?t have any of the following causes: 1.heart diseases 2. diabetes 3.neurological problems 4.hormonal problems 5.drug side effects,https://1mg.com/drugs/avanair-100-tablet-752005,Dr. Pranay Gandhi,Sexology
Suffering from erectile dysfunction,other,"Hello PATIENT  to 1mg. Erectile problems can be happen to people at any age having issue like stress, fatigue, disturb relationship, anxiety, alcohol, smoking and medical problems like High BP, Diabetes, obesity etc. My personal advice is lifestyle changes like exercising, losing weight, stopping smoking,curbing alcohol, don't wear tight pants, do pelvic kegal exercise. There are medications but they have side effects so i dont advice first. But i strongly recommend to start healthy life with some antioxidant vitamins and healthy diet. You may take vitamin like DHEA cap, L arginine and herbal ashwagandha capsule. Apply Himcolin gel. Concentrate on Yoga and meditation and also take help from your partner. Use these for couple of months if not improved do few blood tests like thyroid, sugar and testosterone and let me know.",https://1mg.com/drugs/avanair-100-tablet-752005,Dr. Shyam Gupta,Obstetrics and Gynaecology
"Body pain , erectile dysfunction",other,Reduce weight and check testesterone level,https://1mg.com/drugs/avanair-100-tablet-752005,Dr. Sanjay Bhatt,Physician
Erectile Dysfunction & Premature ejakulation,other,Take tablet dejac t 1 hr before sex. Before that please get urself checked by a physician for any cardiac problem,https://1mg.com/drugs/avanair-100-tablet-752005,Dr. Pranay Gandhi,Sexology
Treatment for erectile dysfunction,other,Take tab dasutra 30 mg 1od at night for thirty days with tab Critizyme bd for thirty days,https://1mg.com/drugs/avanair-100-tablet-752005,Dr. Vinod Raina,Sexology
Cold and Cough and runny nose,cold and cough,"Hello, start Syp. Alerid 2.5 ml once daily for 4 days. Also honey 1 tsf thrice daily for 4 days.If fever give paracetamol syp SOS.",https://1mg.com/drugs/alerid-d-tablet-63164,Dr. Rahul Yadav,Paediatrics
Dry skin around the body. Too much off runny nose. For one month.,cold and cough,"Hello, please start syp Alerid 5ml once daily for 5 days. Also apply atogla oint for local application over the dry skin.",https://1mg.com/drugs/alerid-d-tablet-63164,Dr. Rahul Yadav,Paediatrics
Fever. Nasal Deconjaction. Runny nose body pain,cold and cough,"Hello , start Syp. Alerid 2.5 ml twice daily for 4 days. Also nasoclear nasal drops SOS for nasal blockage. For fever you can give syp paracetamol in weight appropriate doses.If persist show to nearest pediatrician",https://1mg.com/drugs/alerid-d-tablet-63164,Dr. Rahul Yadav,Paediatrics
Sneezing n itching inside d nose from 10days.,cold and cough,Tab Lecope 1 tab OD X 3 days,https://1mg.com/drugs/alerid-d-tablet-63164,Dr. Sunil Sekhri,Diabetology
"sore throat for last six days, taking Azikem 500 for last 5 days but no effect. Taking Lysoflame 2 times for temporarily relief",cold and cough,visit ent specialist as it can be severe infection or may be allergy treatment can be started after examination,https://1mg.com/drugs/azikem-500mg-tablet-279137,Dr. Vijay Verma,ENT
"I have fever last 2 days & cold and headache I have taken Tab Dolo 650 ,Alex plus syrup & Tab azikem 500 I am sugar patiant No relief I get please susggest I have no raport",fever,Consult a physician plz,https://1mg.com/drugs/azikem-500mg-tablet-279137,Dr. Mehtab Baig,Orthopaedic Physiotherapy
"High Blood pressure, High cholesterol level, high fat, sweating problem, chest pain",other,Get stress test done,https://1mg.com/drugs/amlip-5-tablet-43925,Dr. Nabajit Talukdar,Cardiology
On my face there are pimple marks to reduce it,other,use aziderm 20% cream-once daily at bedtime for 2months continuously,https://1mg.com/drugs/aziderm-20-cream-58521,Dr. Souvik Sardar,Dermatology
How to remove pimpil marks in face,other,Aziderm cream twice daily,https://1mg.com/drugs/aziderm-20-cream-58521,Dr. Dharamvir Singh,Dermatology
My face on very pimples and,other,Aziderm cream twice daily,https://1mg.com/drugs/aziderm-20-cream-58521,Dr. Dharamvir Singh,Dermatology
I've got dark black skin knees. I need a treatment.,other,Apply aziderm cream twice daily,https://1mg.com/drugs/aziderm-20-cream-58521,Dr. Dharamvir Singh,Dermatology
skin problems pimples and acne,other,visit a dermatologist for acne peels start using 10% aziderm cream- once daily at bedtime for 6wks,https://1mg.com/drugs/aziderm-20-cream-58521,Dr. Souvik Sardar,Dermatology
Acne problem since 4 yrs Got dark spots,other,Hello PATIENT  ur dark spots u can start using 10 % aziderm / ezanic cream - once daily at bedtime for 2months,https://1mg.com/drugs/aziderm-20-cream-58521,Dr. Souvik Sardar,Dermatology
how to remove Acne marks. The marks are generally brownish in color.,other,Use 10% aziderm cream - once daily at bedtime for 6wks Dnt rub Apply little amount Wash off I'd there is irritation,https://1mg.com/drugs/aziderm-20-cream-58521,Dr. Souvik Sardar,Dermatology
I got dark patches on my chicks. I generally not work in direct sunlight. I think this is melasma. What can I do?,other,Sunscreen everyday ( photo stable gel SPF 30 ) for application before sun exposureBiluma cream at night for 1 month alternate with aziderm 20 percent cream at night,https://1mg.com/drugs/aziderm-20-cream-58521,Dr. Atula Gupta,Dermatology
I m30 weeks pregnant having O- blood group & O+ husband. Gone through coomb test which is negative. Still my gynecologist recommended AntiD injection. Whether I must shot it now? Is it required to take it now or as it is required to take after pregnancy if baby has +blood group,other,Anti D inj should be taken in case of neg Coombs test. One shot should be taken at 28 weeks and another after birth if baby's blood group is neg,https://1mg.com/drugs/antid-300mcg-ml-injection-686358,Dr. Suman Rao,Obstetrics and Gynaecology
Wart infections kindly suggest,other,Please send pictures of the eruptions,https://1mg.com/drugs/antid-300mcg-ml-injection-686358,Dr. Saurav Arora,Homeopathy
Best stomach infections medicines,other,Please elaborate your symptoms and history,https://1mg.com/drugs/antid-300mcg-ml-injection-686358,Dr. Saurav Arora,Homeopathy
Medicine for fungal infections.,other,There is hundred type of fungal infectionFrom which you sufferBetter visit clinic for proper examination,https://1mg.com/drugs/antid-300mcg-ml-injection-686358,Dr. Atul Jain,Dermatology
Suffering from vaginal infections,other,Go for gynaecologist examination,https://1mg.com/drugs/antid-300mcg-ml-injection-686358,Dr. Sonu Balhara Ahlawat,Obstetrics and Gynaecology
Taxim oz tab is given for what problem,other,it is used to treat infections,https://1mg.com/drugs/antid-300mcg-ml-injection-686358,Dr. Sunil Sekhri,Diabetology
Fungal infections on body & face,other,Cap. Itraconazole (Itrasys/ Canditral) 100mg twice daily for 2 weeks.Sertacide Cream for application twice daily for 1 month.Send pictures for better diagnosis and treatment,https://1mg.com/drugs/antid-300mcg-ml-injection-686358,Dr. Atula Gupta,Dermatology
esr count is 76 what should i do,other,check for any infections in the body,https://1mg.com/drugs/antid-300mcg-ml-injection-686358,Dr. Akshat Goel,Orthopaedics
What is dose of Advent 228.5 dry syrup,other,"depends on the weight of the childfor a 3 year old child, 5 ml twice daily for 5 days would be appropriate",https://1mg.com/drugs/advent-forte-457mg-syrup-tangy-orange-63104,Dr. Prashant Singh,Paediatrics
"Child 1.7 yrs, suffering from cough, cold, fever at night time from 5 days. At present using ; relent, calpol, advent Forte.",other,You can continue your treatment,https://1mg.com/drugs/advent-forte-457mg-syrup-tangy-orange-63104,Dr. Gopal Bansilal Samdani,Paediatrics
"Hello Dr, my father now in treatment for cavity air fluid in right lungs. Per ct scan report they mentioned impression: f|s|o| active infection. Will you please advice me what kinda infection. Sputum is negative fr TB.",other,Many different infections can cause a lung abscess including TB,https://1mg.com/drugs/advent-forte-457mg-syrup-tangy-orange-63104,Dr. Anshum Aneja Arora,Pulmonology
Posterior deep fissure in ano c,other,Hot sitz bath with savlon. Abhyarishtam 15-15 ml twice a day with equal quantity of water . Jatyadi tail for local application,https://1mg.com/drugs/ano-metrogyl-cream-359157,Dr. Shallu Garg,Pain and Stress Management
Anal fistula in ano and external piles treatment please refer. Me ointment,other,Consult a surgeon for this,https://1mg.com/drugs/ano-metrogyl-cream-359157,Dr. Suman Rao,Obstetrics and Gynaecology
A small pimple is grown up just above the anus.some times a thick liquid is flowing and some time dry. No pain nothing. This one is happening since from last 1 year. What to do. 12 hour past. But no feedback from doctor I think it is very poor service,other,I think its fistula in anoConsult Surgeon for the same,https://1mg.com/drugs/ano-metrogyl-cream-359157,Dr. Satyam S. Bhavsar,Physician
Ano fissures from last 4 years,other,Please share your all detail,https://1mg.com/drugs/ano-metrogyl-cream-359157,Dr. Manju Singh,Homeopathy
Suffering from fistula in ano.,other,"Hi Kindly consult to Ayurvedic doctor at your local city area , face to face consult is needed.",https://1mg.com/drugs/ano-metrogyl-cream-359157,Dr. Deepak Kumar Soni,Ayurveda
Please Help me for fistula in ano.,other,Ok any doctor prescription,https://1mg.com/drugs/ano-metrogyl-cream-359157,Dr. Ankur Kumar Tanwar,Ayurveda
Please suggest me home medicine for fistula. Can anyone help me,other,"No home remedies, please consult ano reactal surgein before it spreads. Only temporarily you can keep your stools smooth",https://1mg.com/drugs/ano-metrogyl-cream-359157,Dr. Ravi Shankar M.,Ayurveda
Fistula in ano do not want to do surgery,other,Kindly consult to any good Ayuvedic Panchkarma center. Panchkarma therapy will give you some result .,https://1mg.com/drugs/ano-metrogyl-cream-359157,Dr. Deepak Kumar Soni,Ayurveda
I have facing tinea versicolor in my back side of neck and back side,other,Tab AF 400 mg one tablet . Repeat after 1 week . Nizral cream or KZ cream for application twice daily for 1 month .,https://1mg.com/drugs/af-400-tablet-9573,Dr. Atula Gupta,Dermatology
"Hello sir, my name is PATIENT  from ambala. Sir, in my chest a black mark is going to very big. and I have no idea what is it plz check the image and tell me what I do",other,This is a fungal infection. . Tab AF 400 mg one tablet . Repeat this tablet after 1 week . Apply nizral cream over area once at night for a full month and sertacide b cream once in the day for 1 week only,https://1mg.com/drugs/af-400-tablet-9573,Dr. Atula Gupta,Dermatology
Having fungal infection on pennis tip which ointment i should apply,other,Sertacide cream once daily . Fucidin cream once dailyCheck blood sugar fasting . Tab AF 150mg twice weekly for 2 weeks .,https://1mg.com/drugs/af-400-tablet-9573,Dr. Atula Gupta,Dermatology
Prostrate check up Urinary tract infections,other,Needs antibiotics Meet a urologist,https://1mg.com/drugs/azoflox-uti-tablet-467008,Dr.,Gastroenterology
"She has alway Urinary tract infections, and bed wetting problem. How to control over it.",other,Syrup Cystone 10 ml twice a day after food for 2 months. Training to avoid bed wetting to be given,https://1mg.com/drugs/azoflox-uti-tablet-467008,Dr. Ravi Shankar M.,Ayurveda
"Repeated urinary tract infections from last 10 year's Please give best treatment complete prevention for urine infection I am suffering from urinary tract infections from last 10 year's, when I use antibiotics then cure temporarily, after some days it will repeat automatically",other,Get urine routine examination n culture n ultrasound kub with PVR,https://1mg.com/drugs/azoflox-uti-tablet-467008,Dr. Praveen Pushkar,Urology
"Having urine infection since about a month. Took several antibiotics after consultation with doctor but they all show effect only for starting 2 days and then that antibiotic doesn't work. I have taken sporidex 500, zefu cv 500, norflox 400, levofloxin, cefodoxime (each taken for atleast 4-5 days). All work for starting two days then no effect and infection starts to increase. Urine culture report is attached. Kindly suggest medication since problem is increasing day by day.",other,You should consult a urologist and get a few tests done since we need to know the cause of your recurrent urinary tract infections.,https://1mg.com/drugs/azoflox-uti-tablet-467008,Dr. Ila Jain Khandelwal,Pathology
8 mm stone in kidney during pregnancy,other,Nothing needs to be done for this. Take plenty of fluids. It can lead to sudden colicky pain or can predispose to frequent urinary tract infections,https://1mg.com/drugs/azoflox-uti-tablet-467008,Dr. Suman Rao,Obstetrics and Gynaecology
Gall bladder/urinary tract stones,other,U will require surgery to remove bladder n right vuj calculus. For gall bladder stones consult general or gastro surgeon,https://1mg.com/drugs/azoflox-uti-tablet-467008,Dr. Praveen Pushkar,Urology
"Urinary tract infection, painfull",other,send scan copy of lab reports,https://1mg.com/drugs/azoflox-uti-tablet-467008,Dr. Sunil Sekhri,Diabetology
urinary tract infection with pelvic pain,other,Show me the reports.,https://1mg.com/drugs/azoflox-uti-tablet-467008,Dr. Praveen Pushkar,Urology
Want cough syrup for 3 yrs kid Using ambrolite s which he does not like to Pls suggest some syrup which is bit tastier,cold and cough,Clinical examination of chest is required to decide cough treatmentThere are many underlying causes of your symptoms. Different cause needs different treatment. Specific treatment cannot be given unless we establish exact underlying cause. Diagnosis can not be done without clinical examination. Please consult Paediatrician.  will take detail history and will examine your child in detail. At time  may ask you relevant investigations if necessary. All information will be used to determine exact underlying cause of problem. Depending upon cause  will prescribe you treatment. It is mandatory for the customer to have a prescription for the medicines he/she is procuring. Valid prescription cannot be given without diagnosis.,https://1mg.com/drugs/ambrolite-s-expectorant-63241,Dr. Gopal Bansilal Samdani,Paediatrics
reagrding cough and block nose from Monday. sometimes she feels uncomfortable in night. we are giving Ambrolite cough syrup. Any advised from your side,cold and cough,There are many underlying causes of your symptoms. Different cause needs different treatment. Specific treatment cannot be given unless we establish exact underlying cause. Final and perfect diagnosis cannot be done without doing clinical examination of child. Please consult me or any other Paediatrician.  will take detail history and will examine your child in detail. At time  may ask you relevant investigations if necessary. All information will be used to determine exact underlying cause of problem. Depending upon cause  will prescribe you treatment. Your child may need antibiotics and/or other prescription drugs. It is mandatory for the customer to have a prescription for the prescription medicines he/she is procuring. Valid prescription cannot be given without diagnosis.,https://1mg.com/drugs/ambrolite-s-expectorant-63241,Dr. Gopal Bansilal Samdani,Paediatrics
"My daughter is suffering from cough, cold and fever. Ambrolite -s 2ml TDS, Tuspress 1.5ml TDS, Calpol 250 3ml TDS and zifi 50 5ml OD are being given to her on doctor advise. Cough is getting even more and fever is not getting down even after continued dose of paracetamol and other medicines. Please advise",cold and cough,Your child may need one follow up visit with your,https://1mg.com/drugs/ambrolite-s-expectorant-63241,Dr. Gopal Bansilal Samdani,Paediatrics
Irritating throat little cough nostrils get blocked while in sleep hence compelled to use otrivin drops and ambrolite d cough syrup please guide me for my relief's,cold and cough,Get ct scan of paranasal sinus and recert,https://1mg.com/drugs/ambrolite-s-expectorant-63241,Dr. Vijay Verma,ENT
Cold and nasal block from 2 to 3 days and now followed by dry cough. Whereas the clod and nasal block has reduced. Cough will be heavy in closed room under A/c but no cough while walking / jogging / climbing stairs. What to do ? Shall I use Ambrolite D ?,cold and cough,"Don't use it, it may be infective cough. Ambrolyte D will suppress your cough and it will accumulate in chest. This is good in dry cough",https://1mg.com/drugs/ambrolite-s-expectorant-63241,Dr. Shubhra Chandan Pradhan,ENT
"chesty cough in an 18 month old for past 20 days rattling and cough are present no wheeze weight 13 kg suggest a good remedy already tried maxtra, ambrolite, piriton",cold and cough,There are many underlying causes of your symptoms. Different cause needs different treatment. Specific treatment cannot be given unless we establish exact underlying cause. Final and perfect diagnosis cannot be done without doing clinical examination of child. Please consult me or any other Paediatrician.  will take detail history and will examine your child in detail. At time  may ask you relevant investigations if necessary. All information will be used to determine exact underlying cause of problem. Depending upon cause  will prescribe you treatment.,https://1mg.com/drugs/ambrolite-s-expectorant-63241,Dr. Gopal Bansilal Samdani,Paediatrics
She s 2 months old.having cough badly,cold and cough,There are many underlying causes of your symptoms. Specific treatment can not be given unless we establish exact underlying cause. Please consult Pediatrician.  will take detail history and will examine your child in detail. At time  may ask you relevant investigations if necessary. All information will be used to determine exact underlying cause of problem. Depending upon cause  will prescribe you treatment.,https://1mg.com/drugs/ambrolite-s-expectorant-63241,Dr. Gopal Bansilal Samdani,Paediatrics
